"","Text","Types","Tokens","Sentences","speaker","debate","date","primary"
"text85","text85",18,22,2,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text86","text86",2,2,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text87","text87",136,231,13,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text88","text88",7,7,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text89","text89",114,212,17,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text90","text90",8,9,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text91","text91",119,198,16,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text92","text92",13,13,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text93","text93",8,10,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text94","text94",37,57,4,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text95","text95",27,30,3,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text96","text96",5,5,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text97","text97",59,99,11,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text98","text98",102,154,10,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text99","text99",5,5,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text100","text100",61,84,2,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
